Region.Name,country_birth,TOTAL,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT.OF.COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO.RICO,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,U.S..ARMED.SERVICES.POSTS,U.S..TERRITORIES1,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING,UNKNOWN
Asia,Burma,42494,27,0,616,145,2191,618,78,11,8,1051,1623,0,40,221,1139,5686,1985,795,1084,119,4,1234,304,1200,3629,15,725,11,1610,68,26,153,25,2864,1978,9,828,1251,448,645,0,16,239,381,732,3904,0,0,399,62,284,663,34,843,3,432
Africa,Burundi,1630,15,0,104,0,29,31,21,0,0,14,27,0,0,23,64,0,153,0,68,0,64,40,27,38,18,0,32,0,3,0,20,3,0,83,33,17,58,0,10,41,0,9,9,39,53,290,0,0,33,6,38,35,0,0,0,19
Africa,Cabo Verde,6237,0,0,0,0,6,0,118,0,0,83,12,0,0,0,0,0,0,3,0,0,0,0,4605,0,0,0,0,0,0,0,0,43,0,45,6,0,0,0,0,22,0,1150,0,0,4,4,0,0,6,0,0,0,0,0,0,57
Asia,Cambodia,12689,47,0,146,78,3362,117,126,0,3,287,343,0,20,8,139,69,62,61,185,93,99,132,1626,100,597,48,86,0,6,59,46,52,5,202,189,3,225,60,160,671,0,251,99,3,115,987,0,0,85,3,325,1082,0,75,0,110
Africa,Cameroon,13893,52,18,163,54,505,79,45,125,296,233,626,0,8,3,311,83,97,58,93,72,17,4226,523,212,467,19,93,3,77,46,11,244,44,437,264,56,516,301,43,291,0,4,126,3,80,1873,4,0,21,3,539,76,23,72,0,220
Americas,Canada,46036,267,131,1499,134,7115,1029,615,46,137,4684,1229,5,252,277,1117,461,184,209,254,208,335,534,1655,1998,675,78,372,197,113,552,363,1102,157,3209,1471,108,975,236,722,1002,8,117,580,44,614,3452,3,9,472,220,1016,2763,64,375,63,510
Americas,Cayman Islands,121,0,0,0,0,3,0,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
Africa,Central African Republic,416,0,0,18,0,8,17,0,0,12,6,30,0,0,0,8,0,4,0,0,0,11,45,15,6,0,0,11,0,0,0,0,0,0,40,24,0,16,0,4,11,0,0,0,0,0,20,0,0,6,0,8,0,0,0,0,9
Africa,Chad,401,0,0,11,0,10,0,0,0,3,0,7,0,0,0,5,66,4,0,0,0,0,33,0,0,0,0,0,0,3,0,0,29,0,60,11,3,11,0,0,24,0,0,0,0,0,39,0,0,0,0,4,0,0,0,0,3
Americas,Chile,8151,32,11,121,8,1096,117,113,20,37,1921,183,0,19,22,137,21,29,15,27,19,8,217,222,69,71,14,38,3,10,86,21,466,33,841,204,0,81,25,95,148,53,19,48,0,68,448,0,0,274,6,278,193,0,54,3,52
Asia,"China, People's Republic",178668,611,108,1495,302,51932,1512,1431,344,189,4207,3334,128,1393,219,5253,1250,508,596,481,598,163,3929,8431,2279,1540,258,1259,69,309,1779,291,5018,291,41452,2475,66,2491,653,1939,4893,104,292,807,72,1065,9244,43,68,548,110,3262,5162,132,863,43,1366
Americas,Colombia,82243,209,48,443,89,4244,428,1562,102,157,30296,2948,0,50,71,1236,257,82,170,181,286,43,1060,2432,265,237,69,248,22,104,466,196,8646,128,10097,1929,18,386,225,206,1253,503,629,1105,16,380,5270,23,0,371,13,1482,527,32,210,10,756
Africa,Comoros,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,"Congo, Democratic Republic",10279,44,0,307,0,320,306,146,0,10,113,432,0,0,185,517,149,561,68,471,23,162,431,328,245,132,0,179,0,54,44,134,41,13,485,827,91,394,26,113,188,0,21,32,60,153,1546,0,0,130,61,274,238,0,69,0,126
Africa,"Congo, Republic",1575,3,0,68,0,61,66,17,0,3,22,64,0,0,26,102,7,39,9,22,3,15,64,41,47,20,0,13,0,20,8,0,31,3,132,77,23,63,4,9,40,0,0,0,0,30,198,0,0,13,15,26,39,0,6,0,46
Oceania,Cook Islands,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Americas,Costa Rica,8695,32,3,96,25,847,101,123,15,18,1760,271,0,17,12,112,63,3,29,22,69,0,168,204,69,76,21,30,6,10,102,13,1553,32,571,478,0,71,30,75,191,28,12,159,0,83,522,0,0,52,0,188,109,8,60,0,88
Africa,Cote d'Ivoire,5160,7,0,55,0,183,92,62,28,36,105,341,0,0,6,100,60,39,8,36,8,0,480,150,59,97,0,48,0,44,21,9,189,0,1202,176,29,170,33,10,244,0,45,42,14,59,394,3,0,22,0,166,87,0,37,0,87
Europe,Croatia,1843,0,0,61,3,202,32,10,0,0,173,66,0,0,4,118,44,25,4,15,7,6,27,50,48,8,0,43,0,0,51,3,80,0,234,31,0,85,3,6,45,0,3,4,0,13,95,0,0,17,0,38,31,0,47,0,18
Americas,Cuba,157766,168,18,784,20,1595,214,151,30,48,130666,1031,0,13,18,473,117,83,136,2029,505,20,162,248,404,80,59,339,4,437,2872,29,2645,335,1656,911,20,186,91,333,515,587,31,240,19,385,5159,3,3,84,3,458,203,4,90,0,1019
Americas,Curacao,107,0,0,0,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Asia,Cyprus,510,0,0,0,0,75,6,4,0,0,37,12,0,0,0,15,0,0,0,0,3,0,12,23,7,0,0,0,0,0,0,0,28,0,120,6,0,13,0,0,4,0,0,4,0,3,18,0,0,0,0,18,0,0,0,0,3
Europe,Czechia,2957,27,7,39,0,458,93,46,0,6,506,110,0,22,9,247,9,4,3,18,9,5,50,110,40,21,0,11,3,0,30,11,67,4,240,86,0,41,8,35,81,3,0,37,0,31,110,0,0,14,14,78,92,0,20,0,18
Europe,Czechoslovakia (former),1386,3,0,36,0,210,66,17,0,0,162,54,0,4,0,74,3,3,0,0,3,3,22,50,20,15,0,17,0,0,17,4,62,3,95,38,3,21,3,21,39,0,0,17,0,13,47,0,0,11,0,39,44,0,8,4,18
NA,D Data withheld to limit disclosure.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,Denmark,3776,3,9,86,0,901,84,65,0,4,263,113,0,20,16,87,18,13,13,21,13,17,104,141,48,61,0,21,6,7,41,22,161,21,255,107,4,43,3,85,85,0,3,31,0,29,248,0,3,24,4,109,215,0,46,0,28
Africa,Djibouti,355,0,0,3,0,7,8,0,0,0,0,7,0,0,0,3,0,0,0,11,0,39,4,10,0,99,0,0,0,0,0,0,0,0,9,0,0,15,0,0,5,0,0,0,0,0,15,0,0,0,0,3,23,0,7,0,2
