"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","COUNTYFIP","STRATA","GQ","PERNUM","PERWT","SEX","AGE","BPL","BPLD","CITIZEN","YRNATUR","YRSUSA1","OCC","INCTOT","INCWAGE","category"
2020,202001,816606,2020010089334,52,2020008166061,39,35,90239,4,1,52,1,18,600,60072,1,9999,11,0,0,0,NA
2020,202001,816634,2020010090123,51,2020008166341,39,0,230039,4,1,51,2,23,425,42500,3,9999,0,4600,1400,1400,"Service Occupations"
2020,202001,816639,2020010090249,48,2020008166391,39,61,550439,4,1,48,2,20,518,51800,2,2001,19,2634,23800,23800,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,816750,2020010093272,44,2020008167501,39,0,480039,3,1,44,1,22,522,52200,3,9999,19,0,0,0,NA
2020,202001,816754,2020010093409,50,2020008167541,39,49,411039,3,1,50,1,40,200,20000,3,9999,20,6330,24000,24000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,816769,2020010093729,30,2020008167691,39,35,90839,4,1,30,2,21,500,50000,3,9999,4,2545,0,0,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,816770,2020010093735,45,2020008167701,39,35,90839,4,1,45,1,25,501,50100,1,9999,9,2350,0,0,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,816811,2020010094558,50,2020008168111,39,17,540339,4,1,50,2,19,500,50000,3,9999,1,4055,2400,2400,"Service Occupations"
2020,202001,816818,2020010094686,34,2020008168181,39,169,200039,4,1,34,2,19,518,51800,3,9999,1,1555,2300,2300,"Computer and Mathematical Occupations"
2020,202001,816840,2020010095226,60,2020008168401,39,49,410539,4,1,60,2,18,521,52100,3,9999,1,5860,3100,3100,"Office and Administrative Support Occupations:"
2020,202001,816858,2020010095640,15,2020008168581,39,35,90439,4,1,15,1,49,500,50000,2,2008,29,9640,4400,4400,"Production, Transportation, and Material Moving Occupations"
2020,202001,816871,2020010095981,4,2020008168711,39,153,180439,4,1,4,1,31,524,52400,3,9999,8,0,0,0,NA
2020,202001,816936,2020010097784,58,2020008169361,39,35,90939,4,1,58,2,18,518,51800,3,9999,2,0,0,0,NA
2020,202001,817034,2020010100542,53,2020008170341,39,49,411039,3,1,53,2,40,200,20000,3,9999,22,7020,2000,2000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,817101,2020010102280,18,2020008171011,39,169,200039,4,1,18,2,19,518,51800,3,9999,1,1555,2300,2300,"Computer and Mathematical Occupations"
2020,202001,817103,2020010102336,61,2020008171031,39,49,410839,4,1,61,1,18,500,50000,3,9999,1,4720,0,0,"Sales and Related Occupations:"
2020,202001,817122,2020010102884,44,2020008171221,39,61,550239,4,1,44,1,31,524,52400,3,9999,8,0,0,0,NA
2020,202001,817202,2020010104440,17,2020008172021,39,113,460439,3,1,17,2,77,300,30050,2,1976,52,0,18000,0,NA
2020,202001,817235,2020010105507,43,2020008172351,39,17,540339,4,1,43,1,19,500,50000,3,9999,1,4251,8500,8500,"Service Occupations"
2020,202001,817242,2020010105700,36,2020008172421,39,17,540339,4,1,36,1,19,501,50100,3,9999,1,4251,2500,2500,"Service Occupations"
2020,202001,817243,2020010105724,42,2020008172431,39,0,520039,3,1,42,1,34,200,20000,2,2007,15,6230,10000,10000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,817274,2020010106468,54,2020008172741,39,35,90839,4,1,54,1,18,500,50000,3,9999,1,0,0,0,NA
2020,202001,817283,2020010106685,40,2020008172831,39,35,90839,4,1,40,1,19,500,50000,3,9999,1,0,0,0,NA
2020,202001,817303,2020010107255,55,2020008173031,39,35,90939,4,1,55,1,20,500,50000,3,9999,1,0,0,0,NA
2020,202001,817310,2020010107531,21,2020008173101,39,49,410539,4,1,21,2,18,521,52100,3,9999,1,5860,3100,3100,"Office and Administrative Support Occupations:"
