"MET2013_NAME","TOTAL","Africa","Americas","Asia","Europe","Oceania","<NA>"
"Decatur, IL",1416,234,385,452,345,0,0
"Bangor, ME",1379,0,527,728,124,0,0
"Michigan City-La Porte, IN",1331,0,661,338,332,0,0
"Muncie, IN",1256,0,117,1011,128,0,0
"Joplin, MO",1238,0,131,514,593,0,0
"Lima, OH",1205,0,620,503,82,0,0
"Springfield, OH",1198,0,89,509,600,0,0
"La Crosse-Onalaska, WI-MN",1197,115,195,779,108,0,0
"Parkersburg-Vienna, WV",1137,0,113,878,146,0,0
"Mansfield, OH",1122,0,509,258,355,0,0
"Johnstown, PA",858,0,156,462,240,0,0
"Decatur, AL",825,0,206,519,100,0,0
"Rocky Mount, NC",786,22,594,170,0,0,0
"Gadsden, AL",770,0,177,593,0,0,0
"Jackson, TN",744,0,446,187,111,0,0
"Owensboro, KY",634,0,90,445,99,0,0
"Jefferson City, MO",387,0,138,41,208,0,0
